,LC,precision,recall,f1-score,support
case,LC17,0.6311462482714223,0.5618728179551122,0.5944737187085509,400.8
control,LC17,0.4977371455273669,0.5693539054966249,0.5311188891837346,305.6
macro avg,LC17,0.5644416968993946,0.5656133617258685,0.5627963039461428,706.4
weighted avg,LC17,0.5734321611556668,0.5651089269185923,0.5670656566072408,706.4
accuracy,LC1,0.5775823312804773,0.5775823312804773,0.5775823312804773,0.5775823312804773
case,LC1,0.6382808490924258,0.5883029925187032,0.6118171817901699,400.8
control,LC1,0.5116342570305384,0.5635165541626487,0.5358473050224328,305.6
macro avg,LC1,0.5749575530614821,0.575909773340676,0.5738322434063013,706.4
weighted avg,LC1,0.5834901659653756,0.5775823312804773,0.5789518960245712,706.4
accuracy,LC2,0.5713444270367951,0.5713444270367951,0.5713444270367951,0.5713444270367951
case,LC2,0.6360904582377532,0.5708703241895262,0.60160235528634,400.8
control,LC2,0.5043488733853343,0.571987570984678,0.5359291355705533,305.6
macro avg,LC2,0.5702196658115437,0.5714289475871022,0.5687657454284467,706.4
weighted avg,LC2,0.5790991034152067,0.5713444270367951,0.5731875747896661,706.4
accuracy,LC3,0.5676621081776327,0.5676621081776327,0.5676621081776327,0.5676621081776327
case,LC3,0.6374509022718209,0.5518852867830424,0.5915747544715084,400.8
control,LC3,0.5002974146811134,0.5883595842708668,0.5407531603103013,305.6
macro avg,LC3,0.568874158476467,0.5701224355269545,0.5661639573909049,706.4
weighted avg,LC3,0.5781170860457131,0.5676621081776327,0.5695877538870379,706.4
accuracy,LC4,0.5628546585941475,0.5628546585941475,0.5628546585941475,0.5628546585941475
case,LC4,0.6361890664192663,0.5359139650872817,0.5816718780560468,400.8
control,LC4,0.4957682738015148,0.5981635058394943,0.542107636745589,305.6
macro avg,LC4,0.5659786701103906,0.567038735463388,0.5618897574008178,706.4
weighted avg,LC4,0.5754401313875317,0.5628546585941475,0.5645607275029587,706.4
accuracy,LC5,0.5764499881797164,0.5764499881797164,0.5764499881797164,0.5764499881797164
case,LC5,0.6386352194602637,0.5833528678304238,0.6096315071352836,400.8
control,LC5,0.5097502355550704,0.5674124075859852,0.5369181390156129,305.6
macro avg,LC5,0.574192727507667,0.5753826377082045,0.5732748230754482,706.4
weighted avg,LC5,0.5828795533566034,0.5764499881797164,0.5781722039766559,706.4
accuracy,LC6,0.5730521575022739,0.5730521575022739,0.5730521575022739,0.5730521575022739
case,LC6,0.6149332957819109,0.663647132169576,0.6377953361664354,400.8
control,LC6,0.5076444154190496,0.4542033644058716,0.4784101546185367,305.6
macro avg,LC6,0.5612888556004803,0.5589252482877238,0.558102745392486,706.4
weighted avg,LC6,0.5685157116211308,0.5730521575022739,0.5688483186043425,706.4
accuracy,LC7,0.5433147280733739,0.5433147280733739,0.5433147280733739,0.5433147280733739
case,LC7,0.6036215808605799,0.5678653366583541,0.585046340564267,400.8
control,LC7,0.4743880830647263,0.5111003964427301,0.4918938545303655,305.6
macro avg,LC7,0.5390048319626533,0.5394828665505421,0.5384700975473162,706.4
weighted avg,LC7,0.5477138513243988,0.5433147280733739,0.5447508480536534,706.4
accuracy,LC8,0.5843687768210248,0.5843687768210248,0.5843687768210248,0.5843687768210248
case,LC8,0.6494703443048031,0.5813366583541147,0.613495544491382,400.8
control,LC8,0.5171845266905487,0.5883317261330762,0.5504482922753567,305.6
macro avg,LC8,0.5833274354976759,0.5848341922435955,0.5819719183833694,706.4
weighted avg,LC8,0.5922412746947349,0.5843687768210248,0.5862231904035583,706.4
accuracy,LC9,0.556348694359521,0.556348694359521,0.556348694359521,0.556348694359521
case,LC9,0.6263967367688672,0.5419189526184539,0.5806319486221447,400.8
control,LC9,0.4891392996806974,0.5752919747133827,0.5283525675191167,305.6
macro avg,LC9,0.5577680182247823,0.5586054636659183,0.5544922580706307,706.4
weighted avg,LC9,0.5670185696543767,0.556348694359521,0.558011823351263,706.4
